courseID,courseName,deadlineName,deadlineDate,deadlineGrade
CMP-5013A,ARCHITECTURE AND OPERATING SYSTEMS,Architecture Lab Portfolio,2023-11-01,95
CMP-5013A,ARCHITECTURE AND OPERATING SYSTEMS,Operating Systems Lab Portfolio,2023-12-06,85
CMP-5013A,ARCHITECTURE AND OPERATING SYSTEMS,Examination,2024-01-18,78
CMP-5036A,INFORMATION RETRIEVAL,Course Test,2023-12-12,65
CMP-5036A,INFORMATION RETRIEVAL,Experimental Project: Search Experiments,2023-12-15,71
CMP-5015A,PROGRAMMING 2,C programming quiz 1,2023-10-05,98
CMP-5015A,PROGRAMMING 2,C programming quiz 2,2023-10-19,94
CMP-5015A,PROGRAMMING 2,C++ programming quiz,2023-11-02,88
CMP-5015A,PROGRAMMING 2,Java programming quiz 1,2023-11-30,96
CMP-5015A,PROGRAMMING 2,Java programming quiz 2,2023-12-14,95
CMP-5015A,PROGRAMMING 2,Programming test in C++,2024-01-18,79
CMP-5015A,PROGRAMMING 2,Programming test in Java,2024-01-25,84
